customer_id,gender,senior_citizen,tenure_months,contract_type,internet_service,payment_method,dependents,partner,tech_support,monthly_charges,total_charges,city,region,churn
C00001,Female,1,19,One year,Fiber optic,Credit card,No,Yes,Yes,72.6,1375.23,Miami,US-East,No
C00002,Male,0,24,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,63.46,1526.9,Orlando,US-South,Yes
C00003,Male,0,14,Month-to-month,Fiber optic,Electronic check,Yes,No,No,65.46,927.79,Orlando,US-South,Yes
C00004,Male,0,13,Month-to-month,DSL,Credit card,No,No,Yes,58.78,754.45,Phoenix,US-South,No
C00005,Female,0,26,Month-to-month,DSL,Bank transfer,No,Yes,No,50.77,1308.11,Orlando,US-North,Yes
C00006,Male,0,20,One year,DSL,Mailed check,No,Yes,Yes,55.36,1093.22,Denver,US-East,No
C00007,Female,0,22,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,71.72,1599.71,Orlando,US-North,No
C00008,Female,0,15,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,77.14,1150.31,Denver,US-North,Yes
C00009,Female,0,19,One year,None,Credit card,No,No,No,27.47,537.56,Boston,US-North,No
C00010,Female,0,27,One year,Fiber optic,Electronic check,Yes,Yes,Yes,68.58,1836.67,Austin,US-West,Yes
C00011,Male,0,25,One year,None,Credit card,No,Yes,No,27.76,700.62,Denver,US-East,No
C00012,Female,0,33,Month-to-month,DSL,Credit card,Yes,No,Yes,55.59,1860.61,Orlando,US-East,No
C00013,Female,0,31,Month-to-month,DSL,Credit card,No,No,No,50.34,1554.32,Boston,US-South,Yes
C00014,Male,0,15,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,72.52,1092.93,Phoenix,US-West,No
C00015,Male,0,23,Month-to-month,DSL,Mailed check,No,No,No,50.8,1157.22,Boston,US-South,No
C00016,Female,1,29,Month-to-month,DSL,Electronic check,No,No,No,50.18,1444.04,Denver,US-East,Yes
C00017,Male,0,4,Month-to-month,DSL,Electronic check,No,Yes,No,42.24,189.93,Austin,US-South,No
C00018,Female,1,25,Month-to-month,DSL,Electronic check,Yes,No,No,45.59,1149.25,Miami,US-West,No
C00019,Female,0,27,One year,DSL,Electronic check,Yes,No,No,50.54,1376.96,Denver,US-South,No
